----- FILE HEADER ----------------------------------
Event_Number	Ini_E[MeV]	Ini_X[cm]	Ini_Y[cm]	Ini_Z[cm]	Ini_Theta	Ini_Phi	Number_of_hits
Plane_h	X_h[cm]	Y_h[cm]	Z_h[cm]	Time_h[ns]	 Being 'h' each hit of the event
----- END OF HEADER ----------------------------------
1	800	0	0	0	0	0	24
1	0	0	0	0
2	-0.07172	-0.9398	10	0.3692
3	-1.478	-2.662	20	0.7113
4	-12.21	4.655	42.02	1.589
3	4.782	-1.086	21.69	0.901
4	-10.07	-18.65	41.95	1.767
4	-4.43	-32.29	40	2.005
2	-0.9686	-0.2483	10	0.3695
3	-3.241	3.25	20	0.7339
3	4.556e-05	2.288	20.05	0.8806
2	-0.09783	-0.74	10	0.3683
3	-0.9577	-2.49	20	0.7084
3	-0.9664	-2.509	20.11	0.712
2	-0.1496	0.05536	10	0.367
3	0.08875	0.6635	20	0.7014
3	-0.4356	0.1738	22.11	0.7711
3	-0.4356	0.1738	22.11	0.7711
3	-0.4356	0.1738	22.11	0.7711
4	10.28	-15.49	40	1.65
2	20.67	-3.364	11.23	1.626
3	13.52	-1.192	20.93	1.218
3	0.0002592	0.2351	20.64	0.7218
2	6.831	-2.156	10	0.4779
2	2.383	0.395	10	0.3809
